,0,1,2,3,4,5,6,7,8,9,10,11,12
PC1,0.029297322,-0.0435898,0.028330938,-5.56E-05,0.000449722,-0.001168159,0.083633575,-0.006561634,0.045005375,0.949741169,0.005600117,-0.291218514,0.022943376
PC2,0.006668473,0.001175648,-0.004949756,-0.000102679,1.82E-06,0.00036575,-0.005722467,0.000353685,-0.008618659,-0.292406308,-0.002528985,-0.956180551,0.005767199
PC3,-0.011479364,0.632897481,-0.08834036,-0.00097532,-0.001807202,0.004733971,-0.755863075,0.045088416,0.002847871,0.093864448,-0.011159265,-0.023562823,-0.0928333
PC4,0.027130963,0.768058991,-0.012800721,0.00085439,0.000679655,0.005701279,0.636608645,0.002574188,-0.0195602,-0.019979416,-0.032010797,0.004036964,0.045296614
PC5,0.952338065,-0.00567214,-0.057104862,-0.002169059,-0.000165862,-0.013280516,-0.046305076,-0.006538742,0.172278796,-0.032703477,0.021837296,0.01701621,0.236379212
PC6,-0.169050862,0.046821538,0.343651593,-0.003500076,0.001880051,-0.072672769,-0.109433358,0.007314039,-0.209393457,-0.003260587,0.041012495,0.005860812,0.887825566
PC7,0.216220534,0.035159838,0.785948681,0.005106329,0.00387411,0.008194228,-0.026334988,-0.089288211,-0.432351094,0.002549438,-0.071257421,-0.001288155,-0.365389852
PC8,0.124410586,-0.051373184,-0.490776545,-0.011354062,-0.004435861,-0.014929581,0.017623331,0.065395645,-0.854359539,0.046783204,-0.060023106,-0.003077925,0.01820415
PC9,0.013771318,0.023507524,0.035299323,-0.01780714,-0.013898212,-0.052937623,0.023187328,0.224514085,-0.070386919,-0.002032918,0.96585995,-0.001893913,-0.076859295
PC10,0.016617988,-0.030689185,0.098091429,-0.001579444,-0.010614512,-0.051008825,0.02606568,0.964832558,0.038924525,-0.000478694,-0.229891054,2.11E-05,-0.0222822
PC11,-0.001996663,0.005511903,-0.017854485,-0.015911521,0.011530497,-0.994176118,0.005521326,-0.06333448,0.023992247,-0.000774411,-0.043016977,-0.000615755,-0.066375884
PC12,0.001994992,-0.000193735,-0.008118465,0.999595031,0.007814386,-0.017261365,-0.000891682,0.00588524,-0.00866415,0.000517544,0.01613785,-0.000154876,0.003099354
PC13,0.000512975,0.00012725,-0.004241151,-0.007960409,0.999728952,0.010365529,-0.000916021,0.014753706,-0.002469077,-7.35E-05,0.011291902,5.27E-05,-0.000906362
